# OWD receiver: AF41  port=5001
[1784204631.821942] seq=1 owd=0.190 ms
[1784204631.841925] seq=2 owd=0.145 ms
[1784204631.861965] seq=3 owd=0.149 ms
[1784204631.882134] seq=4 owd=0.315 ms
[1784204631.902146] seq=5 owd=0.321 ms
[1784204631.922077] seq=6 owd=0.297 ms
[1784204631.942094] seq=7 owd=0.312 ms
[1784204631.962063] seq=8 owd=0.283 ms
[1784204631.982096] seq=9 owd=0.314 ms
[1784204632.002142] seq=10 owd=0.368 ms
[1784204632.021955] seq=11 owd=0.179 ms
[1784204632.041962] seq=12 owd=0.161 ms
[1784204632.061923] seq=13 owd=0.150 ms
[1784204632.081983] seq=14 owd=0.187 ms
[1784204632.101915] seq=15 owd=0.138 ms
[1784204632.121936] seq=16 owd=0.161 ms
[1784204632.141931] seq=17 owd=0.154 ms
[1784204632.161908] seq=18 owd=0.136 ms
[1784204632.181942] seq=19 owd=0.164 ms
[1784204632.201909] seq=20 owd=0.130 ms
[1784204632.221946] seq=21 owd=0.165 ms
[1784204632.241959] seq=22 owd=0.157 ms
[1784204632.261930] seq=23 owd=0.121 ms
[1784204632.281945] seq=24 owd=0.165 ms
[1784204632.301940] seq=25 owd=0.160 ms
[1784204632.321919] seq=26 owd=0.144 ms
[1784204632.341937] seq=27 owd=0.159 ms
[1784204632.361981] seq=28 owd=0.189 ms
[1784204632.381908] seq=29 owd=0.151 ms
[1784204632.401959] seq=30 owd=0.182 ms
[1784204632.421920] seq=31 owd=0.144 ms
[1784204632.441957] seq=32 owd=0.178 ms
[1784204632.461956] seq=33 owd=0.181 ms
[1784204632.481910] seq=34 owd=0.136 ms
[1784204632.501940] seq=35 owd=0.163 ms
[1784204632.521941] seq=36 owd=0.164 ms
[1784204632.541938] seq=37 owd=0.141 ms
[1784204632.561916] seq=38 owd=0.142 ms
[1784204632.581957] seq=39 owd=0.181 ms
[1784204632.601923] seq=40 owd=0.150 ms
[1784204632.621921] seq=41 owd=0.156 ms
[1784204632.641999] seq=42 owd=0.173 ms
[1784204632.661928] seq=43 owd=0.165 ms
[1784204632.681928] seq=44 owd=0.150 ms
[1784204632.701957] seq=45 owd=0.149 ms
[1784204632.721906] seq=46 owd=0.134 ms
[1784204632.741947] seq=47 owd=0.168 ms
[1784204632.761947] seq=48 owd=0.169 ms
[1784204632.781935] seq=49 owd=0.160 ms
[1784204632.801958] seq=50 owd=0.186 ms
[1784204632.821919] seq=51 owd=0.132 ms
[1784204632.841922] seq=52 owd=0.151 ms
[1784204632.862009] seq=53 owd=0.204 ms
[1784204632.881946] seq=54 owd=0.166 ms
[1784204632.901974] seq=55 owd=0.158 ms
[1784204632.921979] seq=56 owd=0.170 ms
[1784204632.941922] seq=57 owd=0.150 ms
[1784204632.961962] seq=58 owd=0.185 ms
[1784204632.981927] seq=59 owd=0.144 ms
[1784204633.001928] seq=60 owd=0.158 ms
[1784204633.021957] seq=61 owd=0.148 ms
[1784204633.041906] seq=62 owd=0.131 ms
[1784204633.061928] seq=63 owd=0.150 ms
[1784204633.081935] seq=64 owd=0.150 ms
[1784204633.101954] seq=65 owd=0.170 ms
[1784204633.121955] seq=66 owd=0.161 ms
[1784204633.141953] seq=67 owd=0.138 ms
[1784204633.161941] seq=68 owd=0.158 ms
[1784204633.181924] seq=69 owd=0.147 ms
[1784204633.201959] seq=70 owd=0.181 ms
[1784204633.221919] seq=71 owd=0.158 ms
[1784204633.241933] seq=72 owd=0.156 ms
[1784204633.261911] seq=73 owd=0.156 ms
[1784204633.281986] seq=74 owd=0.185 ms
[1784204633.301959] seq=75 owd=0.187 ms
[1784204633.321956] seq=76 owd=0.181 ms
[1784204633.341905] seq=77 owd=0.126 ms
[1784204633.361917] seq=78 owd=0.145 ms
[1784204633.381953] seq=79 owd=0.175 ms
[1784204633.401942] seq=80 owd=0.166 ms
[1784204633.421947] seq=81 owd=0.169 ms
[1784204633.441954] seq=82 owd=0.143 ms
[1784204633.461934] seq=83 owd=0.136 ms
[1784204633.481892] seq=84 owd=0.117 ms
[1784204633.501994] seq=85 owd=0.196 ms
[1784204633.521955] seq=86 owd=0.182 ms
[1784204633.541979] seq=87 owd=0.196 ms
[1784204633.561929] seq=88 owd=0.153 ms
[1784204633.581951] seq=89 owd=0.176 ms
[1784204633.601952] seq=90 owd=0.174 ms
[1784204633.621933] seq=91 owd=0.169 ms
[1784204633.641918] seq=92 owd=0.128 ms
[1784204633.661925] seq=93 owd=0.133 ms
[1784204633.681904] seq=94 owd=0.133 ms
[1784204633.701919] seq=95 owd=0.142 ms
[1784204633.721904] seq=96 owd=0.126 ms
[1784204633.741970] seq=97 owd=0.173 ms
[1784204633.761940] seq=98 owd=0.166 ms
[1784204633.781958] seq=99 owd=0.172 ms
[1784204633.801915] seq=100 owd=0.157 ms
[1784204633.821929] seq=101 owd=0.138 ms
[1784204633.841970] seq=102 owd=0.176 ms
