# OWD receiver: AF42  port=5002
[1783337489.897625] seq=1 owd=0.095 ms
[1783337489.917789] seq=2 owd=0.139 ms
[1783337489.937646] seq=3 owd=0.100 ms
[1783337489.957674] seq=4 owd=0.123 ms
[1783337489.977620] seq=5 owd=0.068 ms
[1783337490.098947] seq=6 owd=101.407 ms
[1783337490.167731] seq=9 owd=110.175 ms
[1783337490.247662] seq=13 owd=110.113 ms
[1783337490.347803] seq=18 owd=110.253 ms
[1783337490.447714] seq=23 owd=110.156 ms
[1783337490.487739] seq=25 owd=110.183 ms
[1783337490.507874] seq=26 owd=110.286 ms
[1783337490.787745] seq=40 owd=110.197 ms
[1783337490.807814] seq=41 owd=110.263 ms
[1783337490.867575] seq=44 owd=110.023 ms
[1783337491.047831] seq=53 owd=110.281 ms
[1783337491.207792] seq=61 owd=110.239 ms
[1783337491.447802] seq=73 owd=110.245 ms
[1783337491.527622] seq=77 owd=110.088 ms
[1783337491.747831] seq=88 owd=110.279 ms
[1783337491.787701] seq=90 owd=110.151 ms
[1783337491.827707] seq=92 owd=110.170 ms
[1783337491.987812] seq=100 owd=110.234 ms
[1783337492.087683] seq=105 owd=110.131 ms
[1783337492.127784] seq=107 owd=110.207 ms
[1783337492.207708] seq=111 owd=110.140 ms
[1783337492.467638] seq=124 owd=110.087 ms
[1783337492.487679] seq=125 owd=110.125 ms
[1783337492.547644] seq=128 owd=110.094 ms
[1783337492.847815] seq=143 owd=110.260 ms
[1783337492.867698] seq=144 owd=110.140 ms
[1783337492.907571] seq=146 owd=110.018 ms
[1783337492.927596] seq=147 owd=110.044 ms
[1783337493.127720] seq=157 owd=110.173 ms
[1783337493.387801] seq=170 owd=110.228 ms
[1783337493.447622] seq=173 owd=110.078 ms
[1783337493.467585] seq=174 owd=110.051 ms
[1783337493.667920] seq=184 owd=110.338 ms
[1783337493.847777] seq=193 owd=110.229 ms
[1783337494.067792] seq=204 owd=110.238 ms
[1783337494.087716] seq=205 owd=110.153 ms
[1783337494.107638] seq=206 owd=110.076 ms
[1783337494.167631] seq=209 owd=110.089 ms
[1783337494.227733] seq=212 owd=110.199 ms
[1783337494.347796] seq=218 owd=110.253 ms
[1783337494.367695] seq=219 owd=110.122 ms
[1783337494.487758] seq=225 owd=110.174 ms
[1783337494.767757] seq=239 owd=110.202 ms
[1783337494.787711] seq=240 owd=110.163 ms
[1783337495.287775] seq=265 owd=110.214 ms
[1783337495.307873] seq=266 owd=110.315 ms
[1783337495.387676] seq=270 owd=110.098 ms
[1783337495.527772] seq=277 owd=110.229 ms
[1783337495.607761] seq=281 owd=110.209 ms
[1783337496.047668] seq=303 owd=110.084 ms
[1783337496.127635] seq=307 owd=110.085 ms
