# OWD receiver: Rx2-OWD  port=5002
[1781006066.033731] seq=137 owd=10.068 ms
[1781006066.053760] seq=138 owd=10.068 ms
[1781006066.073647] seq=139 owd=10.073 ms
[1781006066.093773] seq=140 owd=10.107 ms
[1781006066.113711] seq=141 owd=10.141 ms
[1781006066.133772] seq=142 owd=10.109 ms
[1781006066.153769] seq=143 owd=10.108 ms
[1781006066.173644] seq=144 owd=10.071 ms
[1781006066.193751] seq=145 owd=10.052 ms
[1781006066.213637] seq=146 owd=10.067 ms
[1781006066.233739] seq=147 owd=10.068 ms
[1781006066.253758] seq=148 owd=10.068 ms
[1781006066.273711] seq=149 owd=10.137 ms
[1781006066.293804] seq=150 owd=10.139 ms
[1781006066.313640] seq=151 owd=10.069 ms
[1781006066.353620] seq=153 owd=10.061 ms
[1781006066.373670] seq=154 owd=10.112 ms
[1781006066.393617] seq=155 owd=10.056 ms
[1781006066.413615] seq=156 owd=10.053 ms
[1781006066.433610] seq=157 owd=10.051 ms
[1781006066.453683] seq=158 owd=10.125 ms
[1781006066.473675] seq=159 owd=10.117 ms
[1781006066.493674] seq=160 owd=10.116 ms
[1781006066.513681] seq=161 owd=10.121 ms
[1781006066.533662] seq=162 owd=10.110 ms
[1781006066.553674] seq=163 owd=10.118 ms
[1781006066.573602] seq=164 owd=10.048 ms
[1781006066.593586] seq=165 owd=10.035 ms
[1781006066.613603] seq=166 owd=10.049 ms
[1781006066.633666] seq=167 owd=10.112 ms
[1781006066.653683] seq=168 owd=10.133 ms
[1781006066.673638] seq=169 owd=10.087 ms
[1781006066.693628] seq=170 owd=10.077 ms
[1781006066.713636] seq=171 owd=10.085 ms
[1781006066.733667] seq=172 owd=10.114 ms
[1781006066.753655] seq=173 owd=10.105 ms
[1781006066.773651] seq=174 owd=10.103 ms
[1781006066.793653] seq=175 owd=10.105 ms
[1781006066.813657] seq=176 owd=10.108 ms
[1781006066.833655] seq=177 owd=10.107 ms
[1781006066.853769] seq=178 owd=10.134 ms
[1781006066.873707] seq=179 owd=10.134 ms
[1781006066.893811] seq=180 owd=10.139 ms
[1781006066.913800] seq=181 owd=10.136 ms
[1781006066.933738] seq=182 owd=10.155 ms
[1781006066.953797] seq=183 owd=10.134 ms
[1781006066.973747] seq=184 owd=10.142 ms
[1781006066.993801] seq=185 owd=10.136 ms
[1781006067.013707] seq=186 owd=10.133 ms
[1781006067.033798] seq=187 owd=10.134 ms
[1781006067.053794] seq=188 owd=10.132 ms
[1781006067.073738] seq=189 owd=10.075 ms
[1781006067.093739] seq=190 owd=10.074 ms
[1781006067.113739] seq=191 owd=10.072 ms
[1781006067.133734] seq=192 owd=10.071 ms
[1781006067.153743] seq=193 owd=10.080 ms
[1781006067.173798] seq=194 owd=10.134 ms
[1781006067.193797] seq=195 owd=10.133 ms
[1781006067.213807] seq=196 owd=10.142 ms
[1781006067.233742] seq=197 owd=10.076 ms
[1781006067.253739] seq=198 owd=10.075 ms
[1781006067.273799] seq=199 owd=10.133 ms
[1781006067.293795] seq=200 owd=10.132 ms
[1781006067.313794] seq=201 owd=10.132 ms
[1781006067.333725] seq=202 owd=10.063 ms
[1781006067.353634] seq=203 owd=10.058 ms
[1781006067.373652] seq=204 owd=10.090 ms
[1781006067.393689] seq=205 owd=10.111 ms
[1781006067.413783] seq=206 owd=10.110 ms
[1781006067.433728] seq=207 owd=10.058 ms
[1781006067.453776] seq=208 owd=10.107 ms
[1781006067.473719] seq=209 owd=10.055 ms
[1781006067.493728] seq=210 owd=10.066 ms
[1781006067.553746] seq=213 owd=10.083 ms
[1781006067.573810] seq=214 owd=10.132 ms
[1781006067.593706] seq=215 owd=10.130 ms
[1781006067.613801] seq=216 owd=10.135 ms
[1781006067.633741] seq=217 owd=10.076 ms
[1781006067.653691] seq=218 owd=10.115 ms
[1781006067.673630] seq=219 owd=10.054 ms
[1781006067.693611] seq=220 owd=10.046 ms
[1781006067.713650] seq=221 owd=10.091 ms
[1781006067.733593] seq=222 owd=10.033 ms
[1781006067.753599] seq=223 owd=10.038 ms
[1781006067.773720] seq=224 owd=10.038 ms
[1781006067.793639] seq=225 owd=10.071 ms
[1781006067.813798] seq=226 owd=10.134 ms
[1781006067.833833] seq=227 owd=10.135 ms
[1781006067.853832] seq=228 owd=10.135 ms
[1781006067.873749] seq=229 owd=10.084 ms
[1781006067.893642] seq=230 owd=10.072 ms
[1781006067.913647] seq=231 owd=10.069 ms
[1781006067.933732] seq=232 owd=10.072 ms
[1781006067.953748] seq=233 owd=10.080 ms
[1781006067.973732] seq=234 owd=10.065 ms
[1781006067.993734] seq=235 owd=10.069 ms
[1781006068.013644] seq=236 owd=10.070 ms
[1781006068.033715] seq=237 owd=10.054 ms
[1781006068.053718] seq=238 owd=10.052 ms
[1781006068.073717] seq=239 owd=10.052 ms
[1781006068.093713] seq=240 owd=10.050 ms
[1781006068.113713] seq=241 owd=10.051 ms
[1781006068.133740] seq=242 owd=10.052 ms
[1781006068.153713] seq=243 owd=10.052 ms
[1781006068.173717] seq=244 owd=10.051 ms
[1781006068.193715] seq=245 owd=10.050 ms
[1781006068.213720] seq=246 owd=10.051 ms
[1781006068.233717] seq=247 owd=10.052 ms
[1781006068.253713] seq=248 owd=10.051 ms
[1781006068.273632] seq=249 owd=10.052 ms
[1781006068.293622] seq=250 owd=10.051 ms
[1781006068.313626] seq=251 owd=10.050 ms
[1781006068.333615] seq=252 owd=10.046 ms
[1781006068.353594] seq=253 owd=10.036 ms
[1781006068.373586] seq=254 owd=10.031 ms
[1781006068.393589] seq=255 owd=10.034 ms
[1781006068.413596] seq=256 owd=10.035 ms
[1781006068.433592] seq=257 owd=10.035 ms
[1781006068.453594] seq=258 owd=10.034 ms
[1781006068.473622] seq=259 owd=10.053 ms
[1781006068.493619] seq=260 owd=10.050 ms
[1781006068.513621] seq=261 owd=10.051 ms
[1781006068.533741] seq=262 owd=10.051 ms
[1781006068.553602] seq=263 owd=10.039 ms
[1781006068.573594] seq=264 owd=10.035 ms
