Connecting to host 10.20.2.1, port 2000
[  5] local 10.10.2.1 port 41028 connected to 10.20.2.1 port 2000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362334  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362334 (0%)  sender
[  5]   0.00-60.10  sec   396 MBytes  55.3 Mbits/sec  0.012 ms  5065616/5362317 (94%)  receiver

Server output:
Accepted connection from 10.10.2.1, port 58110
[  5] local 10.20.2.1 port 2000 connected to 10.10.2.1 port 41028
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  49.00-50.00  sec  6.59 MBytes  55.3 Mbits/sec  0.026 ms  84259/89194 (94%)  
[  5]  50.00-51.00  sec  6.60 MBytes  55.3 Mbits/sec  0.023 ms  84414/89357 (94%)  
[  5]  51.00-52.00  sec  6.59 MBytes  55.3 Mbits/sec  0.039 ms  84336/89275 (94%)  
[  5]  52.00-53.00  sec  6.59 MBytes  55.3 Mbits/sec  0.027 ms  84285/89220 (94%)  
[  5]  53.00-54.00  sec  6.60 MBytes  55.3 Mbits/sec  0.029 ms  84368/89308 (94%)  
[  5]  54.00-55.00  sec  6.60 MBytes  55.3 Mbits/sec  0.020 ms  84401/89344 (94%)  
[  5]  55.00-56.00  sec  6.59 MBytes  55.3 Mbits/sec  0.046 ms  84276/89211 (94%)  
[  5]  56.00-57.00  sec  6.59 MBytes  55.3 Mbits/sec  0.032 ms  84340/89279 (94%)  
[  5]  57.00-58.00  sec  6.60 MBytes  55.3 Mbits/sec  0.028 ms  84369/89309 (94%)  
[  5]  58.00-59.00  sec  6.59 MBytes  55.3 Mbits/sec  0.034 ms  84321/89259 (94%)  
[  5]  59.00-60.00  sec  6.59 MBytes  55.3 Mbits/sec  0.021 ms  84346/89285 (94%)  
[  5]  60.00-60.10  sec   480 KBytes  40.0 Mbits/sec  0.012 ms  5984/6335 (94%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[SUM]  0.0-60.1 sec  18 datagrams received out-of-order
[  5]   0.00-60.10  sec   396 MBytes  55.3 Mbits/sec  0.012 ms  5065616/5362317 (94%)  receiver


iperf Done.
