# OWD receiver: AF41  port=5001
[1782458461.844142] seq=1 owd=148.433 ms
[1782458461.864088] seq=2 owd=148.344 ms
[1782458461.884177] seq=3 owd=148.447 ms
[1782458461.904248] seq=4 owd=148.510 ms
[1782458461.924759] seq=5 owd=149.012 ms
[1782458461.944251] seq=6 owd=148.514 ms
[1782458461.964167] seq=7 owd=148.432 ms
[1782458461.984195] seq=8 owd=148.457 ms
[1782458462.004221] seq=9 owd=148.490 ms
[1782458462.024222] seq=10 owd=148.488 ms
[1782458462.044269] seq=11 owd=148.530 ms
[1782458462.064184] seq=12 owd=148.454 ms
[1782458462.084710] seq=13 owd=148.981 ms
[1782458462.105394] seq=14 owd=149.676 ms
[1782458462.124683] seq=15 owd=148.963 ms
[1782458462.144646] seq=16 owd=148.928 ms
[1782458462.164146] seq=17 owd=148.424 ms
[1782458462.184397] seq=18 owd=148.678 ms
[1782458462.204530] seq=19 owd=148.803 ms
[1782458462.224425] seq=20 owd=148.678 ms
[1782458462.244353] seq=21 owd=148.621 ms
[1782458462.264363] seq=22 owd=148.612 ms
[1782458462.285400] seq=23 owd=149.667 ms
[1782458462.304905] seq=24 owd=148.919 ms
[1782458462.325091] seq=25 owd=149.350 ms
[1782458462.360509] seq=26 owd=164.772 ms
[1782458462.367095] seq=27 owd=151.343 ms
[1782458462.384352] seq=28 owd=148.607 ms
[1782458462.404559] seq=29 owd=148.811 ms
[1782458462.424395] seq=30 owd=148.661 ms
[1782458462.444192] seq=31 owd=148.463 ms
[1782458462.464324] seq=32 owd=148.593 ms
[1782458462.484325] seq=33 owd=148.598 ms
[1782458462.504508] seq=34 owd=148.780 ms
[1782458462.524472] seq=35 owd=148.751 ms
[1782458462.544510] seq=36 owd=148.791 ms
[1782458462.564067] seq=37 owd=148.346 ms
[1782458462.584347] seq=38 owd=148.576 ms
[1782458462.604036] seq=39 owd=148.309 ms
[1782458462.624322] seq=40 owd=148.604 ms
[1782458462.644546] seq=41 owd=148.811 ms
[1782458462.664282] seq=42 owd=148.550 ms
[1782458462.684815] seq=43 owd=149.076 ms
[1782458462.704424] seq=44 owd=148.683 ms
[1782458462.724450] seq=45 owd=148.673 ms
[1782458462.744338] seq=46 owd=148.611 ms
[1782458462.764195] seq=47 owd=148.464 ms
[1782458462.784353] seq=48 owd=148.620 ms
[1782458462.807873] seq=49 owd=152.143 ms
[1782458462.835043] seq=50 owd=159.298 ms
[1782458462.854984] seq=51 owd=159.240 ms
[1782458462.868100] seq=52 owd=152.370 ms
[1782458462.884456] seq=53 owd=148.719 ms
[1782458462.904397] seq=54 owd=148.668 ms
[1782458462.924664] seq=55 owd=148.936 ms
[1782458462.944281] seq=56 owd=148.539 ms
[1782458462.966969] seq=57 owd=151.230 ms
[1782458462.984314] seq=58 owd=148.578 ms
[1782458463.004225] seq=59 owd=148.487 ms
[1782458463.024549] seq=60 owd=148.823 ms
[1782458463.045220] seq=61 owd=149.485 ms
[1782458463.064629] seq=62 owd=148.897 ms
[1782458463.085413] seq=63 owd=149.675 ms
[1782458463.104335] seq=64 owd=148.610 ms
[1782458463.124293] seq=65 owd=148.570 ms
[1782458463.144389] seq=66 owd=148.667 ms
[1782458463.164172] seq=67 owd=148.446 ms
[1782458463.184293] seq=68 owd=148.573 ms
[1782458463.204117] seq=69 owd=148.392 ms
[1782458463.224455] seq=70 owd=148.734 ms
[1782458463.244049] seq=71 owd=148.330 ms
[1782458463.264268] seq=72 owd=148.542 ms
[1782458463.284245] seq=73 owd=148.515 ms
[1782458463.303992] seq=74 owd=148.269 ms
[1782458463.324318] seq=75 owd=148.597 ms
[1782458463.344401] seq=76 owd=148.663 ms
[1782458463.364374] seq=77 owd=148.636 ms
[1782458463.384222] seq=78 owd=148.486 ms
[1782458463.404542] seq=79 owd=148.808 ms
[1782458463.424284] seq=80 owd=148.545 ms
[1782458463.444059] seq=81 owd=148.327 ms
[1782458463.465033] seq=82 owd=149.297 ms
[1782458463.484367] seq=83 owd=148.641 ms
[1782458463.504580] seq=84 owd=148.858 ms
[1782458463.524315] seq=85 owd=148.587 ms
[1782458463.544988] seq=86 owd=149.256 ms
