# OWD receiver: AF41  port=5001
[1784205720.353032] seq=1 owd=0.350 ms
[1784205720.372968] seq=2 owd=0.256 ms
[1784205720.392862] seq=3 owd=0.154 ms
[1784205720.412938] seq=4 owd=0.229 ms
[1784205720.437445] seq=5 owd=4.730 ms
[1784205720.486444] seq=7 owd=13.728 ms
[1784205720.506466] seq=8 owd=13.717 ms
[1784205720.526424] seq=9 owd=13.722 ms
[1784205720.546447] seq=10 owd=13.736 ms
[1784205720.566572] seq=11 owd=13.865 ms
[1784205720.586394] seq=12 owd=13.688 ms
[1784205720.626398] seq=14 owd=13.692 ms
[1784205720.666408] seq=16 owd=13.696 ms
[1784205720.706433] seq=18 owd=13.729 ms
[1784205720.726368] seq=19 owd=13.657 ms
[1784205720.766415] seq=21 owd=13.691 ms
[1784205720.786372] seq=22 owd=13.660 ms
[1784205720.806412] seq=23 owd=13.701 ms
[1784205720.886397] seq=27 owd=13.687 ms
[1784205720.906358] seq=28 owd=13.665 ms
[1784205720.926405] seq=29 owd=13.697 ms
[1784205720.946423] seq=30 owd=13.708 ms
[1784205720.966427] seq=31 owd=13.713 ms
[1784205720.986399] seq=32 owd=13.692 ms
[1784205721.006381] seq=33 owd=13.668 ms
[1784205721.026390] seq=34 owd=13.674 ms
[1784205721.046393] seq=35 owd=13.683 ms
[1784205721.066373] seq=36 owd=13.683 ms
[1784205721.086375] seq=37 owd=13.661 ms
[1784205721.106416] seq=38 owd=13.701 ms
[1784205721.174599] seq=41 owd=21.874 ms
[1784205721.189215] seq=42 owd=16.504 ms
[1784205721.226367] seq=44 owd=13.659 ms
[1784205721.246413] seq=45 owd=13.701 ms
[1784205721.286391] seq=47 owd=13.684 ms
[1784205721.306404] seq=48 owd=13.664 ms
[1784205721.326456] seq=49 owd=13.731 ms
[1784205721.367216] seq=51 owd=14.507 ms
[1784205721.386370] seq=52 owd=13.656 ms
[1784205721.406408] seq=53 owd=13.696 ms
[1784205721.426409] seq=54 owd=13.695 ms
[1784205721.446384] seq=55 owd=13.666 ms
[1784205721.466392] seq=56 owd=13.672 ms
[1784205721.486373] seq=57 owd=13.659 ms
[1784205721.506376] seq=58 owd=13.666 ms
[1784205721.526415] seq=59 owd=13.706 ms
[1784205721.546449] seq=60 owd=13.741 ms
[1784205721.594334] seq=62 owd=21.621 ms
[1784205721.609330] seq=63 owd=16.598 ms
[1784205721.666384] seq=66 owd=13.678 ms
[1784205721.686405] seq=67 owd=13.699 ms
[1784205721.747705] seq=70 owd=14.994 ms
[1784205721.766399] seq=71 owd=13.687 ms
[1784205721.786419] seq=72 owd=13.708 ms
[1784205721.806455] seq=73 owd=13.745 ms
[1784205721.826864] seq=74 owd=14.147 ms
[1784205721.851596] seq=75 owd=18.883 ms
[1784205721.871490] seq=76 owd=18.788 ms
[1784205721.887028] seq=77 owd=14.321 ms
[1784205721.926421] seq=79 owd=13.710 ms
[1784205721.986410] seq=82 owd=13.709 ms
[1784205722.066394] seq=86 owd=13.685 ms
[1784205722.106376] seq=88 owd=13.673 ms
[1784205722.126411] seq=89 owd=13.670 ms
[1784205722.146393] seq=90 owd=13.689 ms
[1784205722.166384] seq=91 owd=13.677 ms
[1784205722.206382] seq=93 owd=13.690 ms
[1784205722.226428] seq=94 owd=13.711 ms
[1784205722.246405] seq=95 owd=13.697 ms
[1784205722.266330] seq=96 owd=13.639 ms
[1784205722.286365] seq=97 owd=13.664 ms
[1784205722.306327] seq=98 owd=13.630 ms
[1784205722.326387] seq=99 owd=13.684 ms
[1784205722.386480] seq=102 owd=13.769 ms
[1784205722.446396] seq=105 owd=13.686 ms
[1784205722.466391] seq=106 owd=13.680 ms
[1784205722.486417] seq=107 owd=13.706 ms
[1784205722.526409] seq=109 owd=13.700 ms
[1784205722.546360] seq=110 owd=13.653 ms
[1784205722.586387] seq=112 owd=13.682 ms
[1784205722.606391] seq=113 owd=13.704 ms
[1784205722.626397] seq=114 owd=13.690 ms
[1784205722.646365] seq=115 owd=13.664 ms
[1784205722.666407] seq=116 owd=13.701 ms
[1784205722.766374] seq=121 owd=13.666 ms
[1784205722.786398] seq=122 owd=13.691 ms
[1784205722.806416] seq=123 owd=13.677 ms
[1784205722.826350] seq=124 owd=13.651 ms
[1784205722.846396] seq=125 owd=13.685 ms
[1784205722.866362] seq=126 owd=13.651 ms
[1784205722.886381] seq=127 owd=13.676 ms
[1784205722.926408] seq=129 owd=13.701 ms
[1784205722.966391] seq=131 owd=13.670 ms
[1784205723.026367] seq=134 owd=13.657 ms
[1784205723.066379] seq=136 owd=13.670 ms
[1784205723.086380] seq=137 owd=13.668 ms
[1784205723.106400] seq=138 owd=13.664 ms
[1784205723.126397] seq=139 owd=13.692 ms
[1784205723.186384] seq=142 owd=13.653 ms
[1784205723.206367] seq=143 owd=13.639 ms
[1784205723.226355] seq=144 owd=13.635 ms
[1784205723.246385] seq=145 owd=13.678 ms
[1784205723.266389] seq=146 owd=13.691 ms
[1784205723.286376] seq=147 owd=13.672 ms
[1784205723.306374] seq=148 owd=13.661 ms
[1784205723.346421] seq=150 owd=13.688 ms
[1784205723.386392] seq=152 owd=13.690 ms
