Connecting to host 10.20.3.1, port 3000
[  5] local 10.10.3.1 port 55512 connected to 10.20.3.1 port 3000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362269  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362269 (0%)  sender
[  5]   0.00-60.10  sec   128 MBytes  17.9 Mbits/sec  0.003 ms  5266357/5362259 (98%)  receiver

Server output:
Accepted connection from 10.10.3.1, port 59284
[  5] local 10.20.3.1 port 3000 connected to 10.10.3.1 port 55512
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  3.23 MBytes  27.1 Mbits/sec  0.106 ms  82330/84752 (97%)  
[  5]   1.00-2.00   sec  3.26 MBytes  27.4 Mbits/sec  0.042 ms  86787/89231 (97%)  
[  5]   2.00-3.00   sec  3.30 MBytes  27.7 Mbits/sec  0.095 ms  86841/89312 (97%)  
[  5]   3.00-4.00   sec  3.30 MBytes  27.7 Mbits/sec  0.052 ms  86869/89339 (97%)  
[  5]   4.00-5.00   sec  3.29 MBytes  27.7 Mbits/sec  0.043 ms  86727/89194 (97%)  
[  5]   5.00-6.00   sec  3.30 MBytes  27.7 Mbits/sec  0.032 ms  86905/89377 (97%)  
[  5]   6.00-7.00   sec  3.30 MBytes  27.7 Mbits/sec  0.067 ms  86773/89242 (97%)  
[  5]   7.00-8.00   sec  3.29 MBytes  27.7 Mbits/sec  0.033 ms  86727/89194 (97%)  
[  5]   8.00-9.00   sec  3.30 MBytes  27.7 Mbits/sec  0.061 ms  86986/89458 (97%)  
[  5]   9.00-10.00  sec  3.30 MBytes  27.7 Mbits/sec  0.032 ms  86725/89194 (97%)  
[  5]  10.00-11.00  sec  3.30 MBytes  27.7 Mbits/sec  0.043 ms  86869/89339 (97%)  
[  5]  11.00-12.00  sec  3.30 MBytes  27.7 Mbits/sec  0.029 ms  86760/89229 (97%)  
[  5]  12.00-13.00  sec  3.29 MBytes  27.6 Mbits/sec  0.197 ms  86739/89206 (97%)  
[  5]  13.00-14.00  sec  3.30 MBytes  27.7 Mbits/sec  0.060 ms  86916/89387 (97%)  
