# OWD receiver: AF41  port=5001
[1782647801.246757] seq=1 owd=174.021 ms
[1782647801.266620] seq=2 owd=173.856 ms
[1782647801.286690] seq=3 owd=173.920 ms
[1782647801.306653] seq=4 owd=173.883 ms
[1782647801.326632] seq=5 owd=173.867 ms
[1782647801.346611] seq=6 owd=173.849 ms
[1782647801.366544] seq=7 owd=173.789 ms
[1782647801.386449] seq=8 owd=173.681 ms
[1782647801.406467] seq=9 owd=173.701 ms
[1782647801.426549] seq=10 owd=173.781 ms
[1782647801.446528] seq=11 owd=173.766 ms
[1782647801.466460] seq=12 owd=173.701 ms
[1782647801.486558] seq=13 owd=173.821 ms
[1782647801.506536] seq=14 owd=173.769 ms
[1782647801.526585] seq=15 owd=173.815 ms
[1782647801.546532] seq=16 owd=173.769 ms
[1782647801.566539] seq=17 owd=173.764 ms
[1782647801.586506] seq=18 owd=173.741 ms
[1782647801.668116] seq=19 owd=235.350 ms
[1782647801.758452] seq=21 owd=285.695 ms
[1782647801.830194] seq=25 owd=277.439 ms
[1782647801.861943] seq=26 owd=289.191 ms
[1782647801.889221] seq=27 owd=296.453 ms
[1782647802.090370] seq=37 owd=297.604 ms
[1782647802.114128] seq=38 owd=301.360 ms
[1782647802.136076] seq=39 owd=303.306 ms
[1782647802.158442] seq=40 owd=305.669 ms
[1782647802.173437] seq=41 owd=300.671 ms
[1782647802.303715] seq=48 owd=290.947 ms
[1782647802.322746] seq=49 owd=289.977 ms
[1782647802.394840] seq=53 owd=282.069 ms
[1782647802.417460] seq=54 owd=284.694 ms
[1782647802.448633] seq=55 owd=295.863 ms
[1782647803.136269] seq=90 owd=283.510 ms
[1782647803.161081] seq=91 owd=288.326 ms
[1782647803.184409] seq=92 owd=291.651 ms
[1782647803.319220] seq=99 owd=286.453 ms
[1782647803.345422] seq=100 owd=292.641 ms
[1782647803.373245] seq=101 owd=300.471 ms
[1782647803.397117] seq=102 owd=304.338 ms
[1782647803.526871] seq=108 owd=314.096 ms
[1782647803.540815] seq=109 owd=308.050 ms
[1782647803.548853] seq=110 owd=296.092 ms
[1782647803.604713] seq=113 owd=291.945 ms
[1782647803.688862] seq=117 owd=296.103 ms
[1782647803.708848] seq=118 owd=296.093 ms
[1782647803.724743] seq=119 owd=291.996 ms
[1782647803.740029] seq=120 owd=287.270 ms
[1782647803.756735] seq=121 owd=283.977 ms
[1782647803.773645] seq=122 owd=280.888 ms
[1782647803.795252] seq=123 owd=282.479 ms
[1782647803.818792] seq=124 owd=286.023 ms
[1782647803.845196] seq=125 owd=292.423 ms
[1782647803.978968] seq=132 owd=286.204 ms
[1782647804.006996] seq=133 owd=294.225 ms
[1782647804.034815] seq=134 owd=302.038 ms
[1782647804.140959] seq=139 owd=308.180 ms
[1782647804.159397] seq=140 owd=306.619 ms
[1782647804.177365] seq=141 owd=304.610 ms
[1782647804.201779] seq=142 owd=309.009 ms
[1782647804.260289] seq=145 owd=307.496 ms
[1782647804.275466] seq=146 owd=302.698 ms
[1782647804.295175] seq=147 owd=302.404 ms
[1782647804.313912] seq=148 owd=301.151 ms
[1782647804.331102] seq=149 owd=298.326 ms
[1782647804.349854] seq=150 owd=297.071 ms
[1782647804.369753] seq=151 owd=296.981 ms
[1782647804.392787] seq=152 owd=300.020 ms
[1782647804.412852] seq=153 owd=300.096 ms
[1782647804.433796] seq=154 owd=301.027 ms
[1782647804.456080] seq=155 owd=303.295 ms
[1782647804.647009] seq=166 owd=274.249 ms
[1782647804.670952] seq=167 owd=278.201 ms
[1782647804.694218] seq=168 owd=281.465 ms
[1782647804.781720] seq=172 owd=288.952 ms
[1782647804.810918] seq=173 owd=298.144 ms
[1782647805.091787] seq=187 owd=299.000 ms
[1782647805.106176] seq=188 owd=293.393 ms
[1782647805.121108] seq=189 owd=288.326 ms
[1782647805.137909] seq=190 owd=285.165 ms
[1782647805.154642] seq=191 owd=281.878 ms
[1782647805.175038] seq=192 owd=282.281 ms
[1782647805.229095] seq=195 owd=276.334 ms
[1782647805.257683] seq=196 owd=284.922 ms
[1782647805.285877] seq=197 owd=293.112 ms
[1782647805.473315] seq=205 owd=320.556 ms
[1782647805.494560] seq=206 owd=321.800 ms
[1782647805.543471] seq=209 owd=310.703 ms
[1782647805.608335] seq=213 owd=295.581 ms
[1782647805.635674] seq=214 owd=302.910 ms
[1782647805.648611] seq=215 owd=295.843 ms
[1782647805.705636] seq=219 owd=272.883 ms
[1782647805.729062] seq=220 owd=276.307 ms
[1782647805.753821] seq=221 owd=281.069 ms
[1782647805.813854] seq=224 owd=281.087 ms
[1782647805.837228] seq=225 owd=284.455 ms
[1782647805.859321] seq=226 owd=286.553 ms
[1782647805.881879] seq=227 owd=289.114 ms
[1782647805.981412] seq=232 owd=288.629 ms
[1782647806.007964] seq=233 owd=295.187 ms
[1782647806.036367] seq=234 owd=303.606 ms
[1782647806.171752] seq=241 owd=298.977 ms
[1782647806.414711] seq=253 owd=301.897 ms
[1782647806.433812] seq=254 owd=301.018 ms
[1782647806.445666] seq=255 owd=292.886 ms
[1782647806.464440] seq=256 owd=291.658 ms
[1782647806.487110] seq=257 owd=294.342 ms
[1782647806.518338] seq=258 owd=305.568 ms
[1782647806.564683] seq=261 owd=291.932 ms
[1782647806.587616] seq=262 owd=294.860 ms
[1782647806.650636] seq=265 owd=297.868 ms
