# OWD receiver: Rx3-OWD  port=5003
[1781005991.314089] seq=192 owd=40.162 ms
[1781005991.334023] seq=193 owd=40.096 ms
[1781005991.374008] seq=195 owd=40.082 ms
[1781005991.414026] seq=197 owd=40.089 ms
[1781005991.473961] seq=200 owd=40.135 ms
[1781005991.493863] seq=201 owd=40.039 ms
[1781005991.534030] seq=203 owd=40.151 ms
[1781005991.573957] seq=205 owd=40.136 ms
[1781005991.593946] seq=206 owd=40.126 ms
[1781005991.614002] seq=207 owd=40.184 ms
[1781005991.653980] seq=209 owd=40.164 ms
[1781005991.693875] seq=211 owd=40.056 ms
[1781005991.713852] seq=212 owd=40.035 ms
[1781005991.753969] seq=214 owd=40.073 ms
[1781005991.774069] seq=215 owd=40.140 ms
[1781005991.794058] seq=216 owd=40.134 ms
[1781005991.814037] seq=217 owd=40.112 ms
[1781005991.834052] seq=218 owd=40.122 ms
[1781005991.874058] seq=220 owd=40.123 ms
[1781005991.893964] seq=221 owd=40.137 ms
[1781005991.913958] seq=222 owd=40.135 ms
[1781005991.954000] seq=224 owd=40.174 ms
[1781005992.013876] seq=227 owd=40.052 ms
[1781005992.053868] seq=229 owd=40.045 ms
[1781005992.073859] seq=230 owd=40.038 ms
[1781005992.093893] seq=231 owd=40.064 ms
[1781005992.113968] seq=232 owd=40.061 ms
[1781005992.134013] seq=233 owd=40.084 ms
[1781005992.154009] seq=234 owd=40.080 ms
[1781005992.194015] seq=236 owd=40.086 ms
[1781005992.234002] seq=238 owd=40.072 ms
[1781005992.374023] seq=245 owd=40.095 ms
[1781005992.434009] seq=248 owd=40.081 ms
[1781005992.514052] seq=252 owd=40.126 ms
[1781005992.573900] seq=255 owd=40.085 ms
[1781005992.613962] seq=257 owd=40.130 ms
[1781005992.653986] seq=259 owd=40.157 ms
[1781005992.753999] seq=264 owd=40.073 ms
[1781005992.814046] seq=267 owd=40.090 ms
[1781005992.833996] seq=268 owd=40.065 ms
[1781005992.874001] seq=270 owd=40.056 ms
[1781005992.894027] seq=271 owd=40.063 ms
[1781005992.934002] seq=273 owd=40.075 ms
[1781005992.954005] seq=274 owd=40.156 ms
[1781005992.974085] seq=275 owd=40.156 ms
[1781005992.994103] seq=276 owd=40.177 ms
[1781005993.014017] seq=277 owd=40.086 ms
[1781005993.094086] seq=281 owd=40.159 ms
[1781005993.154118] seq=284 owd=40.154 ms
