Connecting to host 10.20.3.1, port 3000
[  5] local 10.10.3.1 port 32861 connected to 10.20.3.1 port 3000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  5362347  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  6.99 GBytes  1000 Mbits/sec  0.000 ms  0/5362347 (0%)  sender
[  5]   0.00-60.10  sec   200 MBytes  27.9 Mbits/sec  0.004 ms  5212475/5362331 (97%)  receiver

Server output:
Accepted connection from 10.10.3.1, port 59386
[  5] local 10.20.3.1 port 3000 connected to 10.10.3.1 port 32861
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  49.00-50.00  sec  3.30 MBytes  27.7 Mbits/sec  0.051 ms  86729/89197 (97%)  
[  5]  50.00-51.00  sec  3.30 MBytes  27.7 Mbits/sec  0.041 ms  86843/89312 (97%)  
[  5]  51.00-52.00  sec  3.30 MBytes  27.7 Mbits/sec  0.178 ms  86776/89246 (97%)  
[  5]  52.00-53.00  sec  3.30 MBytes  27.7 Mbits/sec  0.049 ms  86829/89298 (97%)  
[  5]  53.00-54.00  sec  3.30 MBytes  27.7 Mbits/sec  0.056 ms  86941/89413 (97%)  
[  5]  54.00-55.00  sec  3.30 MBytes  27.7 Mbits/sec  0.031 ms  86760/89229 (97%)  
[  5]  55.00-56.00  sec  3.29 MBytes  27.7 Mbits/sec  0.044 ms  86778/89245 (97%)  
[  5]  56.00-57.00  sec  3.30 MBytes  27.7 Mbits/sec  0.088 ms  86758/89227 (97%)  
[  5]  57.00-58.00  sec  3.27 MBytes  27.4 Mbits/sec  0.027 ms  86941/89388 (97%)  
[  5]  58.00-59.00  sec  3.30 MBytes  27.6 Mbits/sec  0.046 ms  86809/89277 (97%)  
[  5]  59.00-60.00  sec  3.30 MBytes  27.7 Mbits/sec  0.043 ms  86839/89310 (97%)  
[  5]  60.00-60.10  sec   407 KBytes  34.2 Mbits/sec  0.004 ms  9427/9725 (97%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[SUM]  0.0-60.1 sec  12 datagrams received out-of-order
[  5]   0.00-60.10  sec   200 MBytes  27.9 Mbits/sec  0.004 ms  5212475/5362331 (97%)  receiver


iperf Done.
