# OWD receiver: AF41  port=5001
[1784205570.282652] seq=1 owd=0.340 ms
[1784205570.302538] seq=2 owd=0.202 ms
[1784205570.322505] seq=3 owd=0.182 ms
[1784205570.342634] seq=4 owd=0.196 ms
[1784205570.362524] seq=5 owd=0.185 ms
[1784205570.382773] seq=6 owd=0.326 ms
[1784205570.402610] seq=7 owd=0.269 ms
[1784205570.426674] seq=8 owd=4.330 ms
[1784205570.476039] seq=10 owd=13.706 ms
[1784205570.556021] seq=14 owd=13.661 ms
[1784205570.576017] seq=15 owd=13.674 ms
[1784205570.596024] seq=16 owd=13.685 ms
[1784205570.615986] seq=17 owd=13.648 ms
[1784205570.636045] seq=18 owd=13.712 ms
[1784205570.696008] seq=21 owd=13.645 ms
[1784205570.716010] seq=22 owd=13.668 ms
[1784205570.796038] seq=26 owd=13.686 ms
[1784205570.876041] seq=30 owd=13.698 ms
[1784205570.896032] seq=31 owd=13.698 ms
[1784205570.916006] seq=32 owd=13.668 ms
[1784205570.996004] seq=36 owd=13.663 ms
[1784205571.016045] seq=37 owd=13.706 ms
[1784205571.056020] seq=39 owd=13.685 ms
[1784205571.116075] seq=42 owd=13.704 ms
[1784205571.196064] seq=46 owd=13.733 ms
[1784205571.215999] seq=47 owd=13.666 ms
[1784205571.256033] seq=49 owd=13.694 ms
[1784205571.276012] seq=50 owd=13.674 ms
[1784205571.296038] seq=51 owd=13.667 ms
[1784205571.316008] seq=52 owd=13.683 ms
[1784205571.336049] seq=53 owd=13.709 ms
[1784205571.375996] seq=55 owd=13.659 ms
[1784205571.396100] seq=56 owd=13.714 ms
[1784205571.436056] seq=58 owd=13.700 ms
[1784205571.496075] seq=61 owd=13.712 ms
[1784205571.516076] seq=62 owd=13.695 ms
[1784205571.556030] seq=64 owd=13.690 ms
[1784205571.576027] seq=65 owd=13.689 ms
[1784205571.595999] seq=66 owd=13.661 ms
[1784205571.616046] seq=67 owd=13.690 ms
[1784205571.636058] seq=68 owd=13.722 ms
[1784205571.656028] seq=69 owd=13.692 ms
[1784205571.744185] seq=73 owd=21.847 ms
[1784205571.776038] seq=75 owd=13.698 ms
[1784205571.796029] seq=76 owd=13.661 ms
[1784205571.816000] seq=77 owd=13.670 ms
[1784205571.856033] seq=79 owd=13.689 ms
[1784205571.876030] seq=80 owd=13.691 ms
[1784205571.896003] seq=81 owd=13.660 ms
[1784205571.916006] seq=82 owd=13.675 ms
[1784205571.956023] seq=84 owd=13.689 ms
[1784205571.976012] seq=85 owd=13.672 ms
