# OWD receiver: AF43  port=5003
[1784630564.687876] seq=1 owd=0.089 ms
[1784630564.726812] seq=2 owd=18.994 ms
[1784630564.789493] seq=3 owd=61.656 ms
[1784630564.852538] seq=4 owd=104.692 ms
[1784630564.915063] seq=5 owd=147.256 ms
[1784630564.978020] seq=6 owd=190.174 ms
[1784630565.038287] seq=8 owd=210.467 ms
[1784630565.278402] seq=20 owd=210.596 ms
[1784630565.318315] seq=22 owd=210.522 ms
[1784630565.418278] seq=27 owd=210.483 ms
[1784630565.478179] seq=30 owd=210.371 ms
[1784630565.498211] seq=31 owd=210.397 ms
[1784630565.518094] seq=32 owd=210.303 ms
[1784630565.598104] seq=36 owd=210.294 ms
[1784630565.618097] seq=37 owd=210.288 ms
[1784630565.638095] seq=38 owd=210.295 ms
[1784630565.658015] seq=39 owd=210.210 ms
[1784630565.738172] seq=43 owd=210.328 ms
[1784630565.778073] seq=45 owd=210.260 ms
[1784630565.798064] seq=46 owd=210.237 ms
[1784630565.838175] seq=48 owd=210.368 ms
[1784630565.918111] seq=52 owd=210.317 ms
[1784630565.958207] seq=54 owd=210.401 ms
[1784630565.978198] seq=55 owd=210.342 ms
[1784630566.038169] seq=58 owd=210.359 ms
[1784630566.078163] seq=60 owd=210.358 ms
[1784630566.098180] seq=61 owd=210.360 ms
[1784630566.118000] seq=62 owd=210.202 ms
[1784630566.258167] seq=69 owd=210.352 ms
[1784630566.278122] seq=70 owd=210.332 ms
[1784630566.298140] seq=71 owd=210.327 ms
[1784630566.458181] seq=79 owd=210.373 ms
[1784630566.538334] seq=83 owd=210.503 ms
[1784630566.578295] seq=85 owd=210.481 ms
[1784630566.618218] seq=87 owd=210.410 ms
[1784630566.698275] seq=91 owd=210.401 ms
[1784630566.798226] seq=96 owd=210.419 ms
[1784630566.818174] seq=97 owd=210.364 ms
[1784630567.038402] seq=108 owd=210.580 ms
[1784630567.078261] seq=110 owd=210.451 ms
[1784630567.138301] seq=113 owd=210.489 ms
[1784630567.238236] seq=118 owd=210.393 ms
[1784630567.278237] seq=120 owd=210.427 ms
[1784630567.358255] seq=124 owd=210.423 ms
[1784630567.378215] seq=125 owd=210.407 ms
[1784630567.478174] seq=130 owd=210.358 ms
[1784630567.598284] seq=136 owd=210.494 ms
[1784630567.638255] seq=138 owd=210.460 ms
[1784630567.678222] seq=140 owd=210.429 ms
[1784630567.718267] seq=142 owd=210.450 ms
[1784630567.798124] seq=146 owd=210.317 ms
[1784630567.818186] seq=147 owd=210.377 ms
[1784630567.918168] seq=152 owd=210.351 ms
[1784630568.038336] seq=158 owd=210.526 ms
[1784630568.118346] seq=162 owd=210.532 ms
[1784630568.218322] seq=167 owd=210.473 ms
[1784630568.278232] seq=170 owd=210.423 ms
[1784630568.298205] seq=171 owd=210.393 ms
[1784630568.378289] seq=175 owd=210.479 ms
[1784630568.398107] seq=176 owd=210.292 ms
[1784630568.458117] seq=179 owd=210.312 ms
[1784630568.538208] seq=183 owd=210.377 ms
[1784630568.598164] seq=186 owd=210.353 ms
[1784630568.618221] seq=187 owd=210.411 ms
[1784630568.758314] seq=194 owd=210.467 ms
[1784630568.798224] seq=196 owd=210.410 ms
[1784630568.878253] seq=200 owd=210.444 ms
[1784630568.898279] seq=201 owd=210.466 ms
[1784630568.918224] seq=202 owd=210.409 ms
[1784630568.978137] seq=205 owd=210.328 ms
[1784630569.038237] seq=208 owd=210.428 ms
[1784630569.078125] seq=210 owd=210.313 ms
[1784630569.118178] seq=212 owd=210.345 ms
[1784630569.138133] seq=213 owd=210.321 ms
[1784630569.158217] seq=214 owd=210.367 ms
[1784630569.278170] seq=220 owd=210.338 ms
[1784630569.298208] seq=221 owd=210.420 ms
[1784630569.318073] seq=222 owd=210.263 ms
[1784630569.378225] seq=225 owd=210.419 ms
[1784630569.498219] seq=231 owd=210.408 ms
[1784630569.518166] seq=232 owd=210.361 ms
[1784630569.538210] seq=233 owd=210.365 ms
[1784630569.718322] seq=242 owd=210.513 ms
[1784630569.798306] seq=246 owd=210.497 ms
[1784630569.818281] seq=247 owd=210.471 ms
[1784630569.918230] seq=252 owd=210.414 ms
[1784630569.978303] seq=255 owd=210.475 ms
[1784630570.018185] seq=257 owd=210.372 ms
[1784630570.038221] seq=258 owd=210.403 ms
[1784630570.138199] seq=263 owd=210.381 ms
[1784630570.258332] seq=269 owd=210.518 ms
[1784630570.338240] seq=273 owd=210.426 ms
[1784630570.458242] seq=279 owd=210.432 ms
[1784630570.518369] seq=282 owd=210.520 ms
[1784630570.618270] seq=287 owd=210.461 ms
[1784630570.638312] seq=288 owd=210.463 ms
[1784630570.678187] seq=290 owd=210.379 ms
[1784630570.798235] seq=296 owd=210.424 ms
[1784630570.818188] seq=297 owd=210.379 ms
[1784630570.838165] seq=298 owd=210.354 ms
[1784630570.958220] seq=304 owd=210.416 ms
[1784630571.158347] seq=314 owd=210.538 ms
[1784630571.458422] seq=329 owd=210.596 ms
[1784630571.478316] seq=330 owd=210.506 ms
[1784630571.658256] seq=339 owd=210.439 ms
[1784630571.738347] seq=343 owd=210.508 ms
[1784630571.858283] seq=349 owd=210.492 ms
[1784630571.878265] seq=350 owd=210.422 ms
[1784630571.898258] seq=351 owd=210.450 ms
[1784630571.918181] seq=352 owd=210.363 ms
