# OWD receiver: AF42  port=5002
[1783339338.334167] seq=1 owd=140.418 ms
[1783339338.354165] seq=2 owd=140.380 ms
[1783339338.374137] seq=3 owd=140.360 ms
[1783339338.394162] seq=4 owd=140.391 ms
[1783339338.414212] seq=5 owd=140.426 ms
[1783339338.434117] seq=6 owd=140.365 ms
[1783339338.454023] seq=7 owd=140.248 ms
[1783339338.474077] seq=8 owd=140.306 ms
[1783339338.494186] seq=9 owd=140.406 ms
[1783339338.514206] seq=10 owd=140.416 ms
[1783339338.534168] seq=11 owd=140.386 ms
[1783339338.554189] seq=12 owd=140.419 ms
[1783339338.574764] seq=13 owd=140.997 ms
[1783339338.607399] seq=14 owd=153.623 ms
[1783339338.642820] seq=15 owd=169.045 ms
[1783339338.680313] seq=16 owd=186.536 ms
[1783339338.712380] seq=17 owd=198.611 ms
[1783339338.749083] seq=18 owd=215.316 ms
[1783339338.786450] seq=19 owd=232.683 ms
[1783339338.818666] seq=20 owd=244.900 ms
[1783339338.855709] seq=21 owd=261.943 ms
[1783339338.892081] seq=22 owd=278.313 ms
[1783339338.924987] seq=23 owd=291.203 ms
[1783339338.961273] seq=24 owd=307.494 ms
[1783339338.997971] seq=25 owd=324.194 ms
[1783339339.030192] seq=26 owd=336.415 ms
[1783339339.067346] seq=27 owd=353.569 ms
[1783339339.103889] seq=28 owd=370.110 ms
[1783339339.136314] seq=29 owd=382.527 ms
[1783339339.173079] seq=30 owd=399.292 ms
[1783339339.209433] seq=31 owd=415.657 ms
[1783339339.242145] seq=32 owd=428.378 ms
[1783339339.279246] seq=33 owd=445.476 ms
[1783339339.315525] seq=34 owd=461.738 ms
[1783339339.348411] seq=35 owd=474.627 ms
[1783339339.384408] seq=36 owd=490.628 ms
[1783339339.421333] seq=37 owd=507.560 ms
[1783339339.453762] seq=38 owd=519.990 ms
[1783339339.490529] seq=39 owd=536.741 ms
[1783339339.527786] seq=40 owd=554.000 ms
[1783339339.559594] seq=41 owd=565.823 ms
[1783339339.597167] seq=42 owd=583.390 ms
[1783339339.633005] seq=43 owd=599.215 ms
[1783339339.665920] seq=44 owd=612.146 ms
[1783339339.703430] seq=45 owd=629.647 ms
[1783339339.738801] seq=46 owd=645.028 ms
