# OWD receiver: AF43  port=5003
[1782115092.678653] seq=1 owd=0.072 ms
[1782115092.698645] seq=2 owd=0.050 ms
[1782115092.718646] seq=3 owd=0.054 ms
[1782115092.738633] seq=4 owd=0.044 ms
[1782115092.758636] seq=5 owd=0.047 ms
[1782115092.778623] seq=6 owd=0.034 ms
[1782115092.798651] seq=7 owd=0.052 ms
[1782115092.818637] seq=8 owd=0.041 ms
[1782115092.838696] seq=9 owd=0.101 ms
[1782115092.858622] seq=10 owd=0.033 ms
[1782115092.878632] seq=11 owd=0.037 ms
[1782115092.898617] seq=12 owd=0.029 ms
[1782115092.918613] seq=13 owd=0.025 ms
[1782115092.938612] seq=14 owd=0.024 ms
[1782115092.958616] seq=15 owd=0.028 ms
[1782115092.978614] seq=16 owd=0.027 ms
[1782115092.998639] seq=17 owd=0.052 ms
[1782115093.018615] seq=18 owd=0.029 ms
[1782115093.038610] seq=19 owd=0.023 ms
[1782115093.058615] seq=20 owd=0.028 ms
[1782115093.078616] seq=21 owd=0.029 ms
[1782115093.098611] seq=22 owd=0.023 ms
[1782115093.118607] seq=23 owd=0.021 ms
[1782115093.138623] seq=24 owd=0.037 ms
[1782115093.158613] seq=25 owd=0.028 ms
[1782115093.178622] seq=26 owd=0.035 ms
[1782115093.198609] seq=27 owd=0.022 ms
[1782115093.218612] seq=28 owd=0.024 ms
[1782115093.238682] seq=29 owd=0.095 ms
[1782115093.258632] seq=30 owd=0.038 ms
[1782115093.278637] seq=31 owd=0.043 ms
[1782115093.298768] seq=32 owd=0.070 ms
[1782115093.318631] seq=33 owd=0.036 ms
[1782115093.338662] seq=34 owd=0.069 ms
[1782115093.358658] seq=35 owd=0.061 ms
[1782115093.378663] seq=36 owd=0.064 ms
[1782115093.398647] seq=37 owd=0.050 ms
[1782115093.418650] seq=38 owd=0.052 ms
[1782115093.438656] seq=39 owd=0.061 ms
[1782115093.458659] seq=40 owd=0.059 ms
[1782115093.478678] seq=41 owd=0.069 ms
[1782115093.498676] seq=42 owd=0.056 ms
[1782115093.518691] seq=43 owd=0.077 ms
[1782115093.538684] seq=44 owd=0.071 ms
[1782115093.558679] seq=45 owd=0.070 ms
[1782115093.578676] seq=46 owd=0.072 ms
[1782115093.598694] seq=47 owd=0.084 ms
[1782115093.618673] seq=48 owd=0.062 ms
[1782115093.638702] seq=49 owd=0.089 ms
[1782115093.658676] seq=50 owd=0.067 ms
[1782115093.678647] seq=51 owd=0.051 ms
[1782115093.698647] seq=52 owd=0.052 ms
[1782115093.718627] seq=53 owd=0.038 ms
[1782115093.738634] seq=54 owd=0.045 ms
[1782115093.758640] seq=55 owd=0.047 ms
[1782115093.778630] seq=56 owd=0.040 ms
[1782115093.798645] seq=57 owd=0.049 ms
[1782115093.818634] seq=58 owd=0.043 ms
[1782115093.838632] seq=59 owd=0.040 ms
[1782115093.858654] seq=60 owd=0.052 ms
[1782115093.878636] seq=61 owd=0.038 ms
[1782115093.898617] seq=62 owd=0.028 ms
[1782115093.918612] seq=63 owd=0.026 ms
[1782115093.938616] seq=64 owd=0.028 ms
[1782115093.958613] seq=65 owd=0.026 ms
[1782115093.978613] seq=66 owd=0.026 ms
[1782115093.998615] seq=67 owd=0.029 ms
[1782115094.018613] seq=68 owd=0.026 ms
[1782115094.038616] seq=69 owd=0.029 ms
[1782115094.058643] seq=70 owd=0.047 ms
[1782115094.078644] seq=71 owd=0.045 ms
[1782115094.098616] seq=72 owd=0.027 ms
[1782115094.118613] seq=73 owd=0.026 ms
[1782115094.138610] seq=74 owd=0.024 ms
[1782115094.158617] seq=75 owd=0.029 ms
[1782115094.178625] seq=76 owd=0.036 ms
[1782115094.198612] seq=77 owd=0.026 ms
[1782115094.218615] seq=78 owd=0.027 ms
[1782115094.238614] seq=79 owd=0.026 ms
[1782115094.258611] seq=80 owd=0.025 ms
[1782115094.278615] seq=81 owd=0.027 ms
[1782115094.298612] seq=82 owd=0.025 ms
[1782115094.318610] seq=83 owd=0.023 ms
[1782115094.338668] seq=84 owd=0.059 ms
[1782115094.358622] seq=85 owd=0.027 ms
[1782115094.378613] seq=86 owd=0.026 ms
[1782115094.398609] seq=87 owd=0.024 ms
[1782115094.418613] seq=88 owd=0.026 ms
[1782115094.438646] seq=89 owd=0.042 ms
[1782115094.458653] seq=90 owd=0.057 ms
[1782115094.478666] seq=91 owd=0.052 ms
[1782115094.498650] seq=92 owd=0.059 ms
[1782115094.518620] seq=93 owd=0.032 ms
[1782115094.538616] seq=94 owd=0.030 ms
[1782115094.558621] seq=95 owd=0.032 ms
[1782115094.578625] seq=96 owd=0.036 ms
[1782115094.598719] seq=97 owd=0.062 ms
[1782115094.618674] seq=98 owd=0.065 ms
[1782115094.638646] seq=99 owd=0.047 ms
[1782115094.658657] seq=100 owd=0.057 ms
[1782115094.678670] seq=101 owd=0.067 ms
[1782115094.698647] seq=102 owd=0.051 ms
[1782115094.718650] seq=103 owd=0.048 ms
[1782115094.738677] seq=104 owd=0.070 ms
[1782115094.758698] seq=105 owd=0.082 ms
[1782115094.778687] seq=106 owd=0.077 ms
[1782115094.798686] seq=107 owd=0.073 ms
[1782115094.818647] seq=108 owd=0.047 ms
[1782115094.838630] seq=109 owd=0.037 ms
[1782115094.858658] seq=110 owd=0.056 ms
[1782115094.878640] seq=111 owd=0.043 ms
[1782115094.898622] seq=112 owd=0.032 ms
[1782115094.918625] seq=113 owd=0.037 ms
[1782115094.938621] seq=114 owd=0.031 ms
[1782115094.958648] seq=115 owd=0.054 ms
[1782115094.978628] seq=116 owd=0.037 ms
[1782115094.998679] seq=117 owd=0.069 ms
[1782115095.018632] seq=118 owd=0.037 ms
[1782115095.038632] seq=119 owd=0.039 ms
[1782115095.058614] seq=120 owd=0.025 ms
[1782115095.078636] seq=121 owd=0.050 ms
[1782115095.098643] seq=122 owd=0.046 ms
[1782115095.118630] seq=123 owd=0.032 ms
[1782115095.138658] seq=124 owd=0.058 ms
[1782115095.158736] seq=125 owd=0.065 ms
[1782115095.178624] seq=126 owd=0.030 ms
[1782115095.198640] seq=127 owd=0.042 ms
[1782115095.218631] seq=128 owd=0.039 ms
[1782115095.238628] seq=129 owd=0.038 ms
[1782115095.258622] seq=130 owd=0.033 ms
[1782115095.278624] seq=131 owd=0.034 ms
[1782115095.298691] seq=132 owd=0.102 ms
[1782115095.318712] seq=133 owd=0.123 ms
[1782115095.338663] seq=134 owd=0.073 ms
[1782115095.358633] seq=135 owd=0.041 ms
[1782115095.378633] seq=136 owd=0.040 ms
[1782115095.398631] seq=137 owd=0.039 ms
[1782115095.418623] seq=138 owd=0.032 ms
[1782115095.438623] seq=139 owd=0.032 ms
[1782115095.458622] seq=140 owd=0.032 ms
[1782115095.478639] seq=141 owd=0.043 ms
[1782115095.498625] seq=142 owd=0.032 ms
[1782115095.518629] seq=143 owd=0.039 ms
[1782115095.538625] seq=144 owd=0.033 ms
[1782115095.558654] seq=145 owd=0.062 ms
[1782115095.578644] seq=146 owd=0.049 ms
[1782115095.598658] seq=147 owd=0.057 ms
[1782115095.618642] seq=148 owd=0.042 ms
[1782115095.638659] seq=149 owd=0.063 ms
[1782115095.658665] seq=150 owd=0.067 ms
[1782115095.678648] seq=151 owd=0.053 ms
[1782115095.698647] seq=152 owd=0.055 ms
[1782115095.718663] seq=153 owd=0.069 ms
[1782115095.738649] seq=154 owd=0.055 ms
[1782115095.758633] seq=155 owd=0.040 ms
[1782115095.778666] seq=156 owd=0.063 ms
[1782115095.798647] seq=157 owd=0.049 ms
[1782115095.818688] seq=158 owd=0.081 ms
[1782115095.838681] seq=159 owd=0.072 ms
[1782115095.858654] seq=160 owd=0.050 ms
[1782115095.878649] seq=161 owd=0.052 ms
[1782115095.898666] seq=162 owd=0.060 ms
[1782115095.918674] seq=163 owd=0.065 ms
[1782115095.938678] seq=164 owd=0.070 ms
[1782115095.958672] seq=165 owd=0.065 ms
[1782115095.978675] seq=166 owd=0.068 ms
[1782115095.998653] seq=167 owd=0.055 ms
[1782115096.018630] seq=168 owd=0.036 ms
[1782115096.038641] seq=169 owd=0.047 ms
[1782115096.058633] seq=170 owd=0.040 ms
[1782115096.078634] seq=171 owd=0.044 ms
[1782115096.098637] seq=172 owd=0.040 ms
[1782115096.118621] seq=173 owd=0.031 ms
[1782115096.138619] seq=174 owd=0.032 ms
[1782115096.158616] seq=175 owd=0.029 ms
[1782115096.178620] seq=176 owd=0.034 ms
[1782115096.198628] seq=177 owd=0.040 ms
[1782115096.218612] seq=178 owd=0.025 ms
[1782115096.238611] seq=179 owd=0.025 ms
[1782115096.258622] seq=180 owd=0.036 ms
[1782115096.278620] seq=181 owd=0.034 ms
[1782115096.298611] seq=182 owd=0.024 ms
[1782115096.318618] seq=183 owd=0.029 ms
[1782115096.338614] seq=184 owd=0.026 ms
[1782115096.358612] seq=185 owd=0.025 ms
