# OWD receiver: Rx3-OWD  port=5003
[1781068403.686855] seq=162 owd=40.137 ms
[1781068403.706811] seq=163 owd=40.141 ms
[1781068403.726800] seq=164 owd=40.144 ms
[1781068403.746801] seq=165 owd=40.147 ms
[1781068403.766804] seq=166 owd=40.137 ms
[1781068403.786722] seq=167 owd=40.064 ms
[1781068403.826801] seq=169 owd=40.144 ms
[1781068403.846802] seq=170 owd=40.148 ms
[1781068403.866888] seq=171 owd=40.137 ms
[1781068403.886816] seq=172 owd=40.148 ms
[1781068403.906896] seq=173 owd=40.134 ms
[1781068403.926839] seq=174 owd=40.079 ms
[1781068403.946887] seq=175 owd=40.134 ms
[1781068403.986800] seq=177 owd=40.141 ms
[1781068404.026894] seq=179 owd=40.138 ms
[1781068404.086811] seq=182 owd=40.142 ms
[1781068404.126903] seq=184 owd=40.150 ms
[1781068404.166907] seq=186 owd=40.156 ms
[1781068404.246751] seq=190 owd=40.084 ms
[1781068404.266786] seq=191 owd=40.127 ms
[1781068404.306822] seq=193 owd=40.166 ms
[1781068404.326888] seq=194 owd=40.133 ms
[1781068404.346890] seq=195 owd=40.139 ms
[1781068404.386804] seq=197 owd=40.136 ms
[1781068404.466772] seq=201 owd=40.117 ms
[1781068404.486696] seq=202 owd=40.041 ms
[1781068404.506719] seq=203 owd=40.060 ms
[1781068404.526789] seq=204 owd=40.118 ms
[1781068404.566801] seq=206 owd=40.069 ms
[1781068404.606798] seq=208 owd=40.061 ms
[1781068404.646777] seq=210 owd=40.131 ms
[1781068404.666814] seq=211 owd=40.149 ms
[1781068404.686754] seq=212 owd=40.095 ms
[1781068404.706846] seq=213 owd=40.115 ms
[1781068404.746893] seq=215 owd=40.163 ms
[1781068404.766883] seq=216 owd=40.135 ms
[1781068404.786923] seq=217 owd=40.136 ms
[1781068404.806914] seq=218 owd=40.135 ms
[1781068404.826915] seq=219 owd=40.164 ms
[1781068404.986817] seq=227 owd=40.151 ms
[1781068405.006857] seq=228 owd=40.103 ms
[1781068405.026886] seq=229 owd=40.131 ms
[1781068405.046887] seq=230 owd=40.132 ms
[1781068405.066903] seq=231 owd=40.149 ms
[1781068405.086898] seq=232 owd=40.141 ms
[1781068405.106911] seq=233 owd=40.133 ms
[1781068405.126890] seq=234 owd=40.136 ms
[1781068405.166900] seq=236 owd=40.143 ms
[1781068405.206903] seq=238 owd=40.134 ms
[1781068405.286801] seq=242 owd=40.141 ms
[1781068405.306907] seq=243 owd=40.154 ms
[1781068405.326889] seq=244 owd=40.137 ms
[1781068405.346889] seq=245 owd=40.133 ms
[1781068405.426909] seq=249 owd=40.154 ms
[1781068405.446889] seq=250 owd=40.136 ms
[1781068405.466895] seq=251 owd=40.137 ms
[1781068405.486892] seq=252 owd=40.136 ms
[1781068405.506930] seq=253 owd=40.175 ms
[1781068405.546947] seq=255 owd=40.160 ms
[1781068405.566889] seq=256 owd=40.133 ms
[1781068405.626889] seq=259 owd=40.134 ms
[1781068405.666826] seq=261 owd=40.068 ms
[1781068405.706789] seq=263 owd=40.047 ms
[1781068405.766884] seq=266 owd=40.221 ms
[1781068405.806889] seq=268 owd=40.126 ms
[1781068405.846863] seq=270 owd=40.133 ms
[1781068405.866868] seq=271 owd=40.132 ms
[1781068405.966899] seq=276 owd=40.143 ms
[1781068405.986805] seq=277 owd=40.138 ms
[1781068406.026876] seq=279 owd=40.124 ms
[1781068406.066868] seq=281 owd=40.110 ms
[1781068406.106900] seq=283 owd=40.145 ms
[1781068406.206917] seq=288 owd=40.163 ms
[1781068406.246895] seq=290 owd=40.141 ms
[1781068406.306909] seq=293 owd=40.155 ms
[1781068406.366919] seq=296 owd=40.142 ms
[1781068406.386889] seq=297 owd=40.135 ms
[1781068406.406909] seq=298 owd=40.154 ms
[1781068406.486890] seq=302 owd=40.139 ms
[1781068406.506886] seq=303 owd=40.133 ms
[1781068406.566883] seq=306 owd=40.135 ms
[1781068406.586803] seq=307 owd=40.136 ms
[1781068406.606906] seq=308 owd=40.155 ms
[1781068406.626889] seq=309 owd=40.134 ms
[1781068406.646904] seq=310 owd=40.152 ms
[1781068406.666896] seq=311 owd=40.136 ms
[1781068406.706904] seq=313 owd=40.150 ms
[1781068406.726906] seq=314 owd=40.154 ms
[1781068406.746829] seq=315 owd=40.167 ms
[1781068406.786922] seq=317 owd=40.171 ms
[1781068406.826906] seq=319 owd=40.123 ms
[1781068406.846796] seq=320 owd=40.057 ms
[1781068406.906836] seq=323 owd=40.176 ms
[1781068406.926881] seq=324 owd=40.151 ms
[1781068406.966861] seq=326 owd=40.117 ms
[1781068407.026810] seq=329 owd=40.059 ms
[1781068407.046878] seq=330 owd=40.124 ms
[1781068407.086893] seq=332 owd=40.136 ms
[1781068407.106909] seq=333 owd=40.154 ms
[1781068407.126908] seq=334 owd=40.155 ms
[1781068407.146893] seq=335 owd=40.136 ms
[1781068407.206826] seq=338 owd=40.073 ms
[1781068407.246890] seq=340 owd=40.134 ms
[1781068407.266897] seq=341 owd=40.142 ms
[1781068407.306901] seq=343 owd=40.135 ms
[1781068407.366910] seq=346 owd=40.135 ms
[1781068407.386888] seq=347 owd=40.133 ms
[1781068407.426906] seq=349 owd=40.154 ms
[1781068407.446887] seq=350 owd=40.134 ms
[1781068407.466905] seq=351 owd=40.153 ms
[1781068407.486901] seq=352 owd=40.147 ms
[1781068407.526906] seq=354 owd=40.136 ms
[1781068407.546911] seq=355 owd=40.157 ms
[1781068407.566894] seq=356 owd=40.138 ms
[1781068407.606802] seq=358 owd=40.136 ms
[1781068407.646802] seq=360 owd=40.135 ms
[1781068407.706782] seq=363 owd=40.129 ms
[1781068407.746786] seq=365 owd=40.133 ms
[1781068407.766781] seq=366 owd=40.128 ms
[1781068407.786794] seq=367 owd=40.141 ms
[1781068407.806797] seq=368 owd=40.145 ms
[1781068407.826882] seq=369 owd=40.133 ms
[1781068407.846803] seq=370 owd=40.135 ms
[1781068407.866799] seq=371 owd=40.143 ms
[1781068407.906911] seq=373 owd=40.159 ms
[1781068407.926927] seq=374 owd=40.166 ms
[1781068407.986809] seq=377 owd=40.136 ms
[1781068408.006830] seq=378 owd=40.066 ms
[1781068408.026802] seq=379 owd=40.135 ms
[1781068408.046731] seq=380 owd=40.061 ms
[1781068408.066808] seq=381 owd=40.139 ms
[1781068408.106914] seq=383 owd=40.146 ms
[1781068408.166772] seq=386 owd=40.132 ms
[1781068408.186779] seq=387 owd=40.135 ms
[1781068408.206782] seq=388 owd=40.139 ms
[1781068408.246761] seq=390 owd=40.121 ms
[1781068408.266912] seq=391 owd=40.154 ms
[1781068408.286829] seq=392 owd=40.154 ms
[1781068408.306797] seq=393 owd=40.136 ms
[1781068408.326807] seq=394 owd=40.147 ms
[1781068408.366820] seq=396 owd=40.156 ms
[1781068408.386828] seq=397 owd=40.153 ms
[1781068408.406940] seq=398 owd=40.172 ms
[1781068408.426919] seq=399 owd=40.153 ms
[1781068408.466919] seq=401 owd=40.158 ms
[1781068408.486974] seq=402 owd=40.173 ms
[1781068408.506858] seq=403 owd=40.088 ms
[1781068408.526862] seq=404 owd=40.089 ms
[1781068408.566735] seq=406 owd=40.074 ms
[1781068408.606812] seq=408 owd=40.157 ms
[1781068408.626837] seq=409 owd=40.174 ms
[1781068408.646745] seq=410 owd=40.086 ms
[1781068408.706822] seq=413 owd=40.165 ms
[1781068408.746849] seq=415 owd=40.177 ms
[1781068408.786865] seq=417 owd=40.101 ms
[1781068408.846821] seq=420 owd=40.143 ms
[1781068408.866898] seq=421 owd=40.135 ms
[1781068408.886820] seq=422 owd=40.143 ms
[1781068408.946708] seq=425 owd=40.055 ms
[1781068408.986804] seq=427 owd=40.150 ms
[1781068409.066714] seq=431 owd=40.058 ms
[1781068409.086809] seq=432 owd=40.153 ms
[1781068409.106797] seq=433 owd=40.136 ms
[1781068409.126839] seq=434 owd=40.069 ms
[1781068409.146721] seq=435 owd=40.055 ms
[1781068409.166708] seq=436 owd=40.054 ms
[1781068409.186738] seq=437 owd=40.058 ms
[1781068409.206772] seq=438 owd=40.112 ms
[1781068409.226860] seq=439 owd=40.110 ms
[1781068409.246859] seq=440 owd=40.128 ms
[1781068409.286758] seq=442 owd=40.112 ms
[1781068409.306874] seq=443 owd=40.128 ms
[1781068409.326915] seq=444 owd=40.151 ms
[1781068409.366870] seq=446 owd=40.137 ms
[1781068409.406884] seq=448 owd=40.154 ms
[1781068409.426913] seq=449 owd=40.159 ms
[1781068409.446806] seq=450 owd=40.053 ms
[1781068409.466909] seq=451 owd=40.154 ms
[1781068409.486717] seq=452 owd=40.053 ms
[1781068409.526930] seq=454 owd=40.175 ms
[1781068409.546834] seq=455 owd=40.076 ms
[1781068409.646746] seq=460 owd=40.071 ms
[1781068409.706867] seq=463 owd=40.112 ms
[1781068409.726777] seq=464 owd=40.119 ms
[1781068409.766765] seq=466 owd=40.108 ms
[1781068409.786769] seq=467 owd=40.111 ms
[1781068409.806780] seq=468 owd=40.120 ms
[1781068409.826857] seq=469 owd=40.107 ms
[1781068409.906788] seq=473 owd=40.133 ms
[1781068409.946703] seq=475 owd=40.049 ms
[1781068409.966772] seq=476 owd=40.118 ms
[1781068410.006783] seq=478 owd=40.129 ms
[1781068410.046710] seq=480 owd=40.058 ms
[1781068410.066767] seq=481 owd=40.111 ms
[1781068410.086795] seq=482 owd=40.135 ms
[1781068410.106791] seq=483 owd=40.130 ms
[1781068410.126768] seq=484 owd=40.104 ms
[1781068410.146720] seq=485 owd=40.061 ms
[1781068410.206715] seq=488 owd=40.056 ms
[1781068410.226695] seq=489 owd=40.042 ms
[1781068410.246718] seq=490 owd=40.054 ms
[1781068410.266762] seq=491 owd=40.109 ms
[1781068410.286746] seq=492 owd=40.104 ms
[1781068410.306708] seq=493 owd=40.061 ms
[1781068410.326778] seq=494 owd=40.121 ms
[1781068410.346787] seq=495 owd=40.058 ms
[1781068410.366749] seq=496 owd=40.094 ms
[1781068410.386853] seq=497 owd=40.122 ms
[1781068410.426885] seq=499 owd=40.135 ms
[1781068410.466880] seq=501 owd=40.125 ms
[1781068410.506886] seq=503 owd=40.110 ms
[1781068410.546733] seq=505 owd=40.060 ms
[1781068410.566761] seq=506 owd=40.099 ms
[1781068410.586748] seq=507 owd=40.092 ms
[1781068410.606753] seq=508 owd=40.101 ms
[1781068410.646746] seq=510 owd=40.099 ms
[1781068410.686839] seq=512 owd=40.060 ms
[1781068410.706763] seq=513 owd=40.031 ms
[1781068410.746815] seq=515 owd=40.068 ms
[1781068410.786890] seq=517 owd=40.137 ms
[1781068410.806910] seq=518 owd=40.157 ms
[1781068410.826894] seq=519 owd=40.139 ms
[1781068410.846910] seq=520 owd=40.156 ms
[1781068410.906787] seq=523 owd=40.134 ms
[1781068410.946715] seq=525 owd=40.062 ms
[1781068410.986881] seq=527 owd=40.128 ms
[1781068411.026826] seq=529 owd=40.072 ms
[1781068411.046838] seq=530 owd=40.085 ms
[1781068411.066823] seq=531 owd=40.069 ms
[1781068411.086801] seq=532 owd=40.048 ms
[1781068411.146868] seq=535 owd=40.135 ms
[1781068411.166883] seq=536 owd=40.153 ms
[1781068411.186772] seq=537 owd=40.045 ms
[1781068411.226769] seq=539 owd=40.040 ms
[1781068411.246818] seq=540 owd=40.068 ms
[1781068411.266888] seq=541 owd=40.133 ms
[1781068411.286891] seq=542 owd=40.112 ms
[1781068411.366920] seq=546 owd=40.134 ms
[1781068411.386855] seq=547 owd=40.104 ms
[1781068411.606756] seq=558 owd=40.112 ms
[1781068411.626730] seq=559 owd=40.089 ms
[1781068411.646848] seq=560 owd=40.090 ms
[1781068411.666928] seq=561 owd=40.107 ms
[1781068411.686872] seq=562 owd=40.115 ms
[1781068411.706792] seq=563 owd=40.126 ms
[1781068411.726788] seq=564 owd=40.130 ms
[1781068411.746794] seq=565 owd=40.133 ms
[1781068411.786728] seq=567 owd=40.070 ms
[1781068411.826777] seq=569 owd=40.107 ms
[1781068411.846829] seq=570 owd=40.160 ms
[1781068411.866784] seq=571 owd=40.115 ms
[1781068411.906798] seq=573 owd=40.136 ms
[1781068411.926832] seq=574 owd=40.164 ms
[1781068411.966816] seq=576 owd=40.148 ms
[1781068412.006944] seq=578 owd=40.190 ms
[1781068412.046889] seq=580 owd=40.122 ms
[1781068412.086892] seq=582 owd=40.139 ms
[1781068412.106881] seq=583 owd=40.115 ms
[1781068412.146779] seq=585 owd=40.113 ms
[1781068412.166880] seq=586 owd=40.130 ms
[1781068412.186856] seq=587 owd=40.107 ms
[1781068412.226880] seq=589 owd=40.127 ms
[1781068412.246890] seq=590 owd=40.140 ms
[1781068412.266883] seq=591 owd=40.131 ms
[1781068412.286867] seq=592 owd=40.109 ms
[1781068412.326883] seq=594 owd=40.129 ms
[1781068412.366890] seq=596 owd=40.113 ms
[1781068412.386883] seq=597 owd=40.129 ms
[1781068412.406867] seq=598 owd=40.110 ms
[1781068412.446831] seq=600 owd=40.078 ms
[1781068412.486890] seq=602 owd=40.136 ms
[1781068412.506889] seq=603 owd=40.134 ms
[1781068412.526907] seq=604 owd=40.156 ms
[1781068412.586884] seq=607 owd=40.133 ms
[1781068412.606857] seq=608 owd=40.099 ms
[1781068412.646690] seq=610 owd=40.046 ms
[1781068412.666841] seq=611 owd=40.066 ms
[1781068412.686836] seq=612 owd=40.172 ms
[1781068412.746690] seq=615 owd=40.041 ms
[1781068412.786775] seq=617 owd=40.109 ms
[1781068412.826772] seq=619 owd=40.113 ms
[1781068412.846805] seq=620 owd=40.054 ms
[1781068412.866798] seq=621 owd=40.048 ms
[1781068412.886798] seq=622 owd=40.130 ms
[1781068412.906736] seq=623 owd=40.075 ms
[1781068412.926834] seq=624 owd=40.167 ms
[1781068412.946713] seq=625 owd=40.059 ms
[1781068412.966836] seq=626 owd=40.169 ms
[1781068412.986823] seq=627 owd=40.158 ms
[1781068413.006779] seq=628 owd=40.114 ms
[1781068413.026716] seq=629 owd=40.049 ms
[1781068413.086825] seq=632 owd=40.073 ms
[1781068413.146720] seq=635 owd=40.059 ms
[1781068413.186795] seq=637 owd=40.133 ms
[1781068413.206731] seq=638 owd=40.067 ms
[1781068413.266889] seq=641 owd=40.115 ms
[1781068413.286779] seq=642 owd=40.111 ms
[1781068413.326879] seq=644 owd=40.126 ms
[1781068413.366863] seq=646 owd=40.054 ms
[1781068413.386797] seq=647 owd=40.046 ms
[1781068413.406703] seq=648 owd=40.045 ms
[1781068413.446869] seq=650 owd=40.117 ms
[1781068413.466714] seq=651 owd=40.055 ms
[1781068413.486773] seq=652 owd=40.118 ms
[1781068413.506863] seq=653 owd=40.052 ms
[1781068413.526861] seq=654 owd=40.108 ms
[1781068413.566697] seq=656 owd=40.042 ms
[1781068413.606768] seq=658 owd=40.110 ms
[1781068413.626759] seq=659 owd=40.108 ms
[1781068413.686694] seq=662 owd=40.044 ms
[1781068413.706810] seq=663 owd=40.059 ms
[1781068413.726736] seq=664 owd=40.068 ms
[1781068413.786794] seq=667 owd=40.060 ms
[1781068413.806756] seq=668 owd=40.104 ms
[1781068413.826682] seq=669 owd=40.034 ms
[1781068413.846758] seq=670 owd=40.117 ms
[1781068413.886695] seq=672 owd=40.044 ms
[1781068413.926774] seq=674 owd=40.045 ms
[1781068413.966790] seq=676 owd=40.059 ms
[1781068414.026713] seq=679 owd=40.047 ms
[1781068414.046800] seq=680 owd=40.047 ms
[1781068414.066813] seq=681 owd=40.056 ms
[1781068414.086812] seq=682 owd=40.054 ms
[1781068414.126884] seq=684 owd=40.075 ms
[1781068414.166886] seq=686 owd=40.063 ms
[1781068414.226825] seq=689 owd=40.070 ms
[1781068414.246843] seq=690 owd=40.084 ms
[1781068414.266833] seq=691 owd=40.077 ms
[1781068414.286830] seq=692 owd=40.074 ms
[1781068414.346895] seq=695 owd=40.141 ms
[1781068414.406895] seq=698 owd=40.141 ms
[1781068414.486804] seq=702 owd=40.137 ms
[1781068414.526863] seq=704 owd=40.109 ms
[1781068414.566822] seq=706 owd=40.070 ms
[1781068414.586810] seq=707 owd=40.057 ms
[1781068414.646717] seq=710 owd=40.056 ms
[1781068414.666806] seq=711 owd=40.056 ms
[1781068414.686867] seq=712 owd=40.112 ms
[1781068414.706888] seq=713 owd=40.136 ms
[1781068414.726915] seq=714 owd=40.163 ms
[1781068414.766810] seq=716 owd=40.057 ms
[1781068414.806933] seq=718 owd=40.112 ms
[1781068414.866807] seq=721 owd=40.053 ms
[1781068414.906787] seq=723 owd=40.050 ms
[1781068414.926797] seq=724 owd=40.054 ms
[1781068414.986800] seq=727 owd=40.143 ms
[1781068415.026791] seq=729 owd=40.060 ms
[1781068415.066852] seq=731 owd=40.065 ms
[1781068415.106893] seq=733 owd=40.159 ms
[1781068415.126775] seq=734 owd=40.046 ms
[1781068415.146834] seq=735 owd=40.107 ms
[1781068415.186814] seq=737 owd=40.033 ms
[1781068415.246820] seq=740 owd=40.093 ms
[1781068415.286722] seq=742 owd=40.052 ms
[1781068415.326897] seq=744 owd=40.141 ms
[1781068415.346894] seq=745 owd=40.135 ms
[1781068415.366840] seq=746 owd=40.086 ms
[1781068415.386716] seq=747 owd=40.052 ms
[1781068415.406883] seq=748 owd=40.128 ms
[1781068415.426882] seq=749 owd=40.126 ms
[1781068415.446867] seq=750 owd=40.111 ms
[1781068415.466807] seq=751 owd=40.051 ms
